Series,Date,Race Name,Track,State,Start Time,Laps,TV,Streaming,Previous Winner
NASCAR Cup Series,2026-02-04,Cook Out Clash at Bowman Gray Stadium,Bowman Gray Stadium,NC,6:00 PM,200,FS2,SiriusXM,Chase Elliott
NASCAR Cup Series,2026-02-12,America 250 Florida Duel 2 at DAYTONA,Daytona International Speedway,FL,8:45 PM,60,FS1,SiriusXM,Austin Cindric
NASCAR Cup Series,2026-02-12,America 250 Florida Duel 1 at DAYTONA,Daytona International Speedway,FL,7:00 PM,60,FS1,SiriusXM,Bubba Wallace
NASCAR Craftsman Truck Series,2026-02-13,Fresh From Florida 250,Daytona International Speedway,FL,7:30 PM,100,FS1,SiriusXM,
NASCAR Cup Series,2026-02-15,DAYTONA 500,Daytona International Speedway,FL,2:30 PM,200,FOX,SiriusXM,William Byron
NASCAR Craftsman Truck Series,2026-02-21,Fr8 Racing 208,Atlanta Motor Speedway,GA,1:30 PM,135,FS1,SiriusXM,Kyle Busch
NASCAR Cup Series,2026-02-22,Autotrader 400,Atlanta Motor Speedway,GA,3:00 PM,260,FOX,SiriusXM,Christopher Bell
NASCAR Craftsman Truck Series,2026-02-28,NASCAR Craftsman Truck Series Race at St. Petersburg,Grand Prix of St. Petersburg,FL,12:00 PM,80,FOX,SiriusXM,
NASCAR Cup Series,2026-03-01,DuraMax Grand Prix Powered by RelaDyne,Circuit of The Americas,TX,3:30 PM,95,FOX,SiriusXM,Christopher Bell
NASCAR Cup Series,2026-03-08,Straight Talk Wireless 500,Phoenix Raceway,AZ,3:30 PM,312,FS1,SiriusXM,Christopher Bell
NASCAR Cup Series,2026-03-15,Pennzoil 400 presented by Jiffy Lube,Las Vegas Motor Speedway,NV,4:00 PM,267,FS1,SiriusXM,Josh Berry
NASCAR Craftsman Truck Series,2026-03-20,NASCAR Craftsman Truck Series Race at Darlington,Darlington Raceway,SC,7:30 PM,147,FS1,SiriusXM,
NASCAR Cup Series,2026-03-29,Cook Out 400,Martinsville Speedway,VA,3:30 PM,400,FS1,SiriusXM,Denny Hamlin
NASCAR Cup Series,2026-03-29,Goodyear 400,Darlington Raceway,SC,3:00 PM,293,FS1,SiriusXM,Denny Hamlin
NASCAR Craftsman Truck Series,2026-04-03,Black's Tire 200,Rockingham Speedway,NC,4:30 PM,200,FS1,SiriusXM,Tyler Ankrum
NASCAR Craftsman Truck Series,2026-04-10,Tennessee Army National Guard 250,Bristol Motor Speedway,TN,7:30 PM,250,FS1,SiriusXM,Chandler Smith
NASCAR Cup Series,2026-04-12,Food City 500,Bristol Motor Speedway,TN,3:00 PM,500,FS1,SiriusXM,Kyle Larson
NASCAR Cup Series,2026-04-19,AdventHealth 400,Kansas Speedway,KS,2:00 PM,267,FOX,SiriusXM,Kyle Larson
NASCAR Cup Series,2026-04-26,Jack Link's 500,Talladega Superspeedway,AL,3:00 PM,188,FOX,SiriusXM,Austin Cindric
NASCAR Craftsman Truck Series,2026-05-01,SpeedyCash.com 250,Texas Motor Speedway,TX,8:00 PM,167,FS1,SiriusXM,
NASCAR Cup Series,2026-05-03,Würth 400 presented by LIQUI MOLY,Texas Motor Speedway,TX,3:30 PMf,267,FS1,SiriusXM,Joey Logano
NASCAR Craftsman Truck Series,2026-05-08,NASCAR Craftsman Truck Series Race at Watkins Glen,Watkins Glen International,NY,4:30 PM,72,FS1,SiriusXM,
NASCAR Cup Series,2026-05-10,Go Bowling at The Glen,Watkins Glen International,NY,3:00 PM,100,FS1,SiriusXM,Shane van Gisbergen
NASCAR Craftsman Truck Series,2026-05-15,ECOSAVE 200,Dover Motor Speedway,DE,5:00 PM,200,FS1,SiriusXM,
NASCAR Cup Series,2026-05-17,NASCAR All-Star Race,Dover Motor Speedway,DE,3:00 PM,1,FS1,SiriusXM,Christopher Bell
NASCAR Craftsman Truck Series,2026-05-22,North Carolina Education Lottery 200,Charlotte Motor Speedway,NC,7:30 PM,134,FS1,SiriusXM,
NASCAR Cup Series,2026-05-24,Coca-Cola 600,Charlotte Motor Speedway,NC,6:00 PM,400,Prime Video,SiriusXM,Ross Chastain
NASCAR Craftsman Truck Series,2026-05-29,Flote 200,Nashville Superspeedway,TN,8:00 PM,150,FS1,SiriusXM,Rajah Caruth
NASCAR Cup Series,2026-05-31,Cracker Barrel 400,Nashville Superspeedway,TN,7:00 PM,300,Prime Video,SiriusXM,Ryan Blaney
NASCAR Craftsman Truck Series,2026-06-06,NASCAR Craftsman Truck Series Race at Michigan,Michigan International Speedway,MI,1:30 PM,125,FS1,SiriusXM,Stewart Friesen
NASCAR Cup Series,2026-06-07,FireKeepers Casino 400,Michigan International Speedway,MI,3:00 PM,200,Prime Video,SiriusXM,Denny Hamlin
NASCAR Cup Series,2026-06-14,NASCAR Cup Series Race at Pocono,Pocono Raceway,PA,3:00 PM,160,Prime Video,SiriusXM,Chase Briscoe
NASCAR Craftsman Truck Series,2026-06-19,NASCAR CRAFTSMAN Truck Series Race at San Diego,San Diego Street Course,CA,7:00 PM,50,FS1,SiriusXM,
NASCAR Cup Series,2026-06-21,Anduril 250,San Diego Street Course,CA,4:00 PM,75,Prime Video,SiriusXM,
NASCAR Cup Series,2026-07-05,NASCAR Cup Series Race at Chicagoland,Chicagoland Speedway,IL,6:00 PM,267,TNT,SiriusXM,
NASCAR Craftsman Truck Series,2026-07-11,NASCAR Craftsman Truck Series at Lime Rock,Lime Rock Park,CT,1:00 PM,100,FS1,SiriusXM,
NASCAR Cup Series,2026-07-12,Quaker State 400 Available at Walmart,Atlanta Motor Speedway,GA,7:00 PM,260,TNT,SiriusXM,Chase Elliott
NASCAR Craftsman Truck Series,2026-07-18,Window World 250,North Wilkesboro Speedway,NC,12:30 PM,250,FS1,SiriusXM,
NASCAR Cup Series,2026-07-19,Window World 450,North Wilkesboro Speedway,NC,7:00 PM,450,TNT,SiriusXM,
NASCAR Craftsman Truck Series,2026-07-24,NASCAR Craftsman Truck Series Race at IRP,Lucas Oil Indianapolis Raceway Park,IN,8:00 PM,200,FS1,SiriusXM,Layne Riggs
NASCAR Cup Series,2026-07-26,Brickyard 400,Indianapolis Motor Speedway,IN,2:00 PM,160,TNT,SiriusXM,Bubba Wallace
NASCAR Cup Series,2026-07-28,Toyota / Save Mart 350,Sonoma Raceway,CA,3:30 PM,110,TNT,SiriusXM,Shane van Gisbergen
NASCAR Cup Series,2026-08-09,Iowa Corn 350 Powered by Ethanol,Iowa Speedway,IA,3:30 PM,350,USA,SiriusXM,William Byron
NASCAR Craftsman Truck Series,2026-08-14,NASCAR Craftsman Truck Series Race at Richmond,Richmond Raceway,VA,7:30 PM,250,FS1,SiriusXM,
NASCAR Cup Series,2026-08-15,Cook Out 400,Richmond Raceway,VA,7:00 PM,400,USA,SiriusXM,Austin Dillon
NASCAR Craftsman Truck Series,2026-08-22,Team EJP 175,New Hampshire Motor Speedway,NH,1:30 PM,175,FS1,SiriusXM,
NASCAR Cup Series,2026-08-23,NASCAR Cup Series Race at New Hampshire,New Hampshire Motor Speedway,NH,3:00 PM,301,USA,SiriusXM,Ryan Blaney
NASCAR Cup Series,2026-08-29,Coke Zero Sugar 400,Daytona International Speedway,FL,7:30 PM,160,NBC,SiriusXM,Ryan Blaney
NASCAR Cup Series,2026-09-06,Cook Out Southern 500,Darlington Raceway,SC,5:00 PM,367,USA,SiriusXM,Chase Briscoe
NASCAR Cup Series,2026-09-13,Enjoy Illinois 300,World Wide Technology Raceway,IL,3:00 PM,240,USA,SiriusXM,Denny Hamlin
NASCAR Craftsman Truck Series,2026-09-17,UNOH 250 Presented by Ohio Logistics,Bristol Motor Speedway,TN,8:00 PM,250,FS1,SiriusXM,Layne Riggs
NASCAR Cup Series,2026-09-19,Bass Pro Shops Night Race,Bristol Motor Speedway,TN,7:30 PM,500,USA,SiriusXM,Christopher Bell
NASCAR Craftsman Truck Series,2026-09-26,NASCAR CRAFTSMAN Truck Series Playoff Race at Kansas,Kansas Speedway,KS,1:00 PM,134,FS1,SiriusXM,Carson Hocevar
NASCAR Cup Series,2026-09-27,Hollywood Casino 400,Kansas Speedway,KS,3:00 PM,267,USA,SiriusXM,Chase Elliott
NASCAR Cup Series,2026-10-04,South Point 400,Las Vegas Motor Speedway,NV,5:30 PM,267,USA,SiriusXM,Denny Hamlin
NASCAR Craftsman Truck Series,2026-10-09,Ecosave 250,Charlotte Motor Speedway,NC,5:00 PM,167,FOX,SiriusXM,
NASCAR Cup Series,2026-10-11,Bank of America 400,Charlotte Motor Speedway,NC,3:00 PM,267,USA,SiriusXM,Shane van Gisbergen
NASCAR Craftsman Truck Series,2026-10-17,NASCAR CRAFTSMAN Truck Series Playoff Race at Phoenix,Phoenix Raceway,AZ,7:30 PM,150,FS1,SiriusXM,
NASCAR Cup Series,2026-10-18,Freeway Insurance 500,Phoenix Raceway,AZ,3:00 PM,312,USA,SiriusXM,Ryan Blaney
NASCAR Craftsman Truck Series,2026-10-23,NASCAR CRAFTSMAN Truck Series Playoff Race at Talladega,Talladega Superspeedway,AL,4:00 PM,85,FS1,SiriusXM,Gio Ruggiero
NASCAR Cup Series,2026-10-25,Yellawood 500,Talladega Superspeedway,AL,2:00 PM,188,NBC,SiriusXM,Chase Briscoe
NASCAR Craftsman Truck Series,2026-10-30,NASCAR CRAFTSMAN Truck Series Playoff Race at Martinsville,Martinsville Speedway,VA,6:00 PM,200,FS1,SiriusXM,
NASCAR Cup Series,2026-11-01,Xfinity 500,Martinsville Speedway,VA,2:00 PM,500,NBC,SiriusXM,William Byron
NASCAR Craftsman Truck Series,2026-11-06,NASCAR CRAFTSMAN Truck Series Championship Race,Homestead-Miami Speedway,FL,6:30 pm,134,FS1,SiriusXM,Kyle Larson
NASCAR Cup Series,2026-11-08,NASCAR Cup Series Championship Race,Homestead-Miami Speedway,FL,3:00 PM,267,NBC,SiriusXM,Kyle Larson
